,CPU CORES,OS,MAR,APR,MAY,JUN,JUL,% CHANGE
0,1 cpu,WINDOWS,0.41%,0.35%,0.40%,0.40%,0.38%, -0.02%
1,2 cpus,WINDOWS,19.17%,19.67%,19.55%,18.77%,18.39%, -0.38%
2,3 cpus,WINDOWS,1.19%,1.18%,1.18%,1.12%,1.07%, -0.05%
3,4 cpus,WINDOWS,48.64%,48.89%,48.34%,47.55%,47.03%, -0.52%
4,5 cpus,WINDOWS,0.01%,0.01%,0.01%,0.01%,0.01%, 0.00%
5,6 cpus,WINDOWS,23.69%,22.58%,22.85%,23.96%,24.35%, +0.39%
6,7 cpus,WINDOWS,0.00%,0.00%,0.00%,0.00%,0.00%, 0.00%
7,8 cpus,WINDOWS,6.42%,6.77%,7.07%,7.52%,8.01%, +0.49%
8,9 cpus,WINDOWS,0.00%,0.00%,0.00%,0.00%,0.00%, 0.00%
9,10 cpus,WINDOWS,0.08%,0.08%,0.08%,0.09%,0.10%, +0.01%
10,11 cpus,WINDOWS,-,-,0.00%,0.00%,0.00%, 0.00%
11,12 cpus,WINDOWS,0.27%,0.33%,0.37%,0.43%,0.49%, +0.06%
12,14 cpus,WINDOWS,0.01%,0.01%,0.01%,0.01%,0.01%, 0.00%
13,15 cpus,WINDOWS,-,0.00%,-,-,0.00%, 0.00%
14,16 cpus,WINDOWS,0.08%,0.10%,0.10%,0.11%,0.13%, +0.02%
15,17 cpus,WINDOWS,-,0.00%,-,-,0.00%, 0.00%
16,18 cpus,WINDOWS,0.01%,0.01%,0.01%,0.01%,0.01%, 0.00%
17,20 cpus,WINDOWS,0.00%,0.00%,0.00%,0.00%,0.00%, 0.00%
18,22 cpus,WINDOWS,0.00%,0.00%,0.00%,0.00%,0.00%, 0.00%
19,24 cpus,WINDOWS,0.01%,0.01%,0.01%,0.01%,0.01%, 0.00%
20,28 cpus,OSX,0.00%,0.00%,0.00%,0.00%,0.00%, 0.00%
21,32 cpus,OSX,0.00%,0.01%,0.01%,0.01%,0.01%, 0.00%
22,64 cpus,OSX,-,-,-,-,0.00%, 0.00%
23,2 cpus,OSX,56.63%,56.32%,55.43%,52.97%,51.98%, -0.99%
24,4 cpus,OSX,33.75%,33.75%,34.00%,35.44%,35.93%, +0.49%
25,6 cpus,OSX,6.49%,6.56%,6.92%,7.51%,7.82%, +0.31%
26,8 cpus,OSX,2.90%,3.14%,3.37%,3.82%,4.00%, +0.18%
27,10 cpus,OSX,0.05%,0.05%,0.03%,0.05%,0.05%, 0.00%
28,12 cpus,OSX,0.15%,0.14%,0.20%,0.17%,0.19%, +0.02%
29,14 cpus,OSX,0.01%,0.01%,0.01%,0.01%,0.00%, -0.01%
30,16 cpus,LINUX,0.01%,0.01%,0.02%,0.01%,0.01%, 0.00%
31,18 cpus,LINUX,0.02%,0.01%,0.02%,0.02%,0.02%, 0.00%
32,28 cpus,LINUX,0.00%,-,0.00%,0.00%,0.00%, 0.00%
33,1 cpu,LINUX,1.32%,1.46%,1.87%,1.53%,1.16%, -0.37%
34,2 cpus,LINUX,28.26%,27.89%,27.00%,25.27%,24.49%, -0.78%
35,3 cpus,LINUX,0.15%,0.20%,0.15%,0.15%,0.08%, -0.07%
36,4 cpus,LINUX,44.49%,44.60%,43.25%,43.64%,43.60%, -0.04%
37,6 cpus,LINUX,13.79%,13.94%,15.08%,16.05%,16.39%, +0.34%
38,8 cpus,LINUX,10.25%,9.82%,10.20%,10.72%,11.31%, +0.59%
39,10 cpus,LINUX,0.08%,0.07%,0.07%,0.15%,0.15%, 0.00%
40,12 cpus,LINUX,1.08%,1.19%,1.40%,1.53%,1.75%, +0.22%
41,14 cpus,LINUX,0.02%,0.03%,0.02%,0.01%,0.02%, +0.01%
42,16 cpus,LINUX,0.45%,0.65%,0.76%,0.75%,0.83%, +0.08%
43,18 cpus,LINUX,0.01%,0.02%,0.02%,0.02%,0.04%, +0.02%
44,20 cpus,LINUX,0.03%,0.03%,0.03%,0.03%,0.04%, +0.01%
45,24 cpus,LINUX,0.02%,0.08%,0.04%,0.04%,0.07%, +0.03%
46,28 cpus,LINUX,-,-,0.01%,0.01%,0.01%, 0.00%
47,32 cpus,LINUX,0.02%,0.03%,0.08%,0.04%,0.05%, +0.01%
48,36 cpus,LINUX,0.02%,-,0.01%,0.01%,0.01%, 0.00%
